IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
AARON,MĘŻCZYZNA,9
AAYAN,MĘŻCZYZNA,2
ABIGAIL,KOBIETA,2
ADA,KOBIETA,135
ADAM,MĘŻCZYZNA,2539
ADEL,KOBIETA,15
ADELA,KOBIETA,106
ADELE,KOBIETA,4
ADELIA,KOBIETA,4
ADELINA,KOBIETA,146
ADRIAN,MĘŻCZYZNA,236
ADRIANA,KOBIETA,15
ADRIANNA,KOBIETA,529
AGATA,KOBIETA,464
AGNIESZKA,KOBIETA,44
AHATA,KOBIETA,2
AIDA,KOBIETA,4
AISHA,KOBIETA,4
ALAN,MĘŻCZYZNA,599
ALAYA,KOBIETA,2
ALBERT,MĘŻCZYZNA,102
ALEK,MĘŻCZYZNA,4
ALEKS,MĘŻCZYZNA,135
ALEKSANDER,MĘŻCZYZNA,5098
ALEKSANDR,MĘŻCZYZNA,10
ALEKSANDRA,KOBIETA,1460
ALEKSY,MĘŻCZYZNA,69
ALESSANDRO,MĘŻCZYZNA,2
ALEX,MĘŻCZYZNA,152
ALEXANDER,MĘŻCZYZNA,85
ALEXANDRA,KOBIETA,6
ALFRED,MĘŻCZYZNA,2
ALI,MĘŻCZYZNA,9
ALIA,KOBIETA,6
ALICIA,KOBIETA,8
ALICJA,KOBIETA,3067
ALINA,KOBIETA,98
ALISA,KOBIETA,89
ALISIA,KOBIETA,4
ALIYA,KOBIETA,3
ALOJZY,MĘŻCZYZNA,2
AMADEUSZ,MĘŻCZYZNA,31
AMALIIA,KOBIETA,2
AMANDA,KOBIETA,26
AMAYA,KOBIETA,2
AMELIA,KOBIETA,2449
AMELIIA,KOBIETA,12
AMIL,MĘŻCZYZNA,2
AMINA,KOBIETA,20
AMIR,MĘŻCZYZNA,21
AMIRA,KOBIETA,7
AMÉLIA,KOBIETA,2
ANA,KOBIETA,5
ANAS,MĘŻCZYZNA,2
ANASTASIA,KOBIETA,10
ANASTASIIA,KOBIETA,9
ANASTAZJA,KOBIETA,918
ANATOLIA,KOBIETA,2
ANDREI,MĘŻCZYZNA,3
ANDRII,MĘŻCZYZNA,26
ANDRZEJ,MĘŻCZYZNA,64
ANETA,KOBIETA,4
ANGELINA,KOBIETA,18
ANHELINA,KOBIETA,2
ANIELA,KOBIETA,939
ANISA,KOBIETA,2
ANITA,KOBIETA,35
ANNA,KOBIETA,1203
ANNA-SOFIA,KOBIETA,2
ANTHONY,MĘŻCZYZNA,2
ANTON,MĘŻCZYZNA,9
ANTONI,MĘŻCZYZNA,5302
ANTONIA,KOBIETA,28
ANTONINA,KOBIETA,2614
ANTONIO,MĘŻCZYZNA,9
APOLONIA,KOBIETA,378
ARIA,KOBIETA,33
ARIADNA,KOBIETA,4
ARIAN,MĘŻCZYZNA,4
ARIANA,KOBIETA,36
ARIANNA,KOBIETA,5
ARIEL,MĘŻCZYZNA,2
ARIELLA,KOBIETA,2
ARINA,KOBIETA,36
ARKADIUSZ,MĘŻCZYZNA,48
ARMIN,MĘŻCZYZNA,2
ARON,MĘŻCZYZNA,43
ARSEN,MĘŻCZYZNA,7
ARSENII,MĘŻCZYZNA,4
ARTEM,MĘŻCZYZNA,117
ARTHUR,MĘŻCZYZNA,2
ARTUR,MĘŻCZYZNA,591
ARYA,KOBIETA,3
ASHER,MĘŻCZYZNA,2
ASLAN,MĘŻCZYZNA,2
AUGUST,MĘŻCZYZNA,15
AUGUSTYN,MĘŻCZYZNA,13
AURELIA,KOBIETA,930
AURELIUSZ,MĘŻCZYZNA,4
AURORA,KOBIETA,100
AYAAN,MĘŻCZYZNA,5
